"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1724236",0.456486590752006,-0.0765241851105485,3.96103731557537,0.000138326575761548,0.414260459184664,-0.814481744919692
"ILMN_1795089",-0.427286994176753,0.0737467596564056,-3.91105468938603,0.000165704183673866,0.414260459184664,-0.910490488905012
"ILMN_2352097",-0.498572197671409,0.141506941718819,-3.51327429425622,0.000660981964216065,0.672898588343309,-1.64620970469119
"ILMN_1789909",-0.339382848859127,0.107480047610734,-3.41887839496902,0.000904649025294623,0.672898588343309,-1.81293023518076
"ILMN_2393450",-0.440217210740884,0.0846725400534963,-3.39205054182264,0.000988006089247331,0.672898588343309,-1.85973056232793
"ILMN_2061565",-0.392236633407106,0.0168932220040646,-3.38537927532335,0.00100982718502782,0.672898588343309,-1.87132780433333
"ILMN_1692760",-0.340445116486933,0.061719656307081,-3.33874465237125,0.00117548120466678,0.672898588343309,-1.95194185698865
"ILMN_1746565",-0.329748997125249,0.0546489339841983,-3.29954047781926,0.00133411787533183,0.672898588343309,-2.01908972954868
"ILMN_1756071",-0.332298738840097,0.0570219382956174,-3.25862461748041,0.00152090843286297,0.672898588343309,-2.08855604216536
"ILMN_1789196",-0.404212834641799,0.0935678206805332,-3.20762423845327,0.00178797399474566,0.672898588343309,-2.17425535057049
"ILMN_1659688",-0.318389643205064,0.0523451396325983,-3.2011412240048,0.00182489587091052,0.672898588343309,-2.18507789227443
"ILMN_1730816",-0.352922258332425,0.0399050616898825,-3.20097605605095,0.00182584575194885,0.672898588343309,-2.18535340725675
"ILMN_1704195",-0.328177094275979,0.0447645448788683,-3.19454826408194,0.00186317205510658,0.672898588343309,-2.19606737904403
"ILMN_1721978",-0.338083517821768,0.000711756158334242,-3.16927408620925,0.00201694465614122,0.672898588343309,-2.23804008580373
"ILMN_2384122",-0.455853347067962,0.124853428043505,-3.16899674870526,0.00201869576502993,0.672898588343309,-2.2384992856618
"ILMN_1726981",-0.328195670604684,0.0301111770021526,-3.13480130595404,0.0022457848618099,0.701807769315593,-2.29488845900966
"ILMN_1704385",0.305480851522972,-0.0444559010118132,3.05528046559381,0.00286877944525105,0.73737694669008,-2.42423940525207
"ILMN_1781479",-0.307727204655448,0.0786444722440889,-3.04572825182204,0.00295354291812914,0.73737694669008,-2.43960783973069
"ILMN_3304111",-0.330597169856645,0.106305609058295,-3.03569842585388,0.00304503585651843,0.73737694669008,-2.45570522478128
"ILMN_3238274",-0.304222862830301,0.0301498892577592,-3.01271303125857,0.00326469043263926,0.73737694669008,-2.4924425698321
"ILMN_1757370",-0.324269263200126,0.0372798889892099,-3.00940587469207,0.00329747351465484,0.73737694669008,-2.49771076819826
"ILMN_1693664",-0.30364541710417,0.0287234799250554,-2.99226703993067,0.00347229424640005,0.73737694669008,-2.52494120376228
"ILMN_1711368",-0.344017584199731,0.078800598005747,-2.98674255304204,0.00353044464570131,0.73737694669008,-2.53369309321592
"ILMN_3301168",0.300199698344836,-0.0289319929355016,2.98589836039875,0.00353940934411238,0.73737694669008,-2.53502936563118
"ILMN_2103591",-0.296519640473702,0.109940993005809,-2.94509115278265,0.00399865645310934,0.7413392037801,-2.59927480065929
"ILMN_1708375",-0.42210723730494,0.102111302226288,-2.9448285678816,0.00400178174381603,0.7413392037801,-2.5996859871756
"ILMN_1664464",-0.333622693457091,0.106605988896711,-2.920009444084,0.00430754359355595,0.7413392037801,-2.63842195112257
"ILMN_1803110",-0.309856126495739,0.0378414476478494,-2.91010846806696,0.00443540862105208,0.7413392037801,-2.65380338971164
"ILMN_1813338",-0.337578662382938,0.113357384621532,-2.90930808655465,0.00444589605060927,0.7413392037801,-2.65504502208006
"ILMN_1732705",-0.294649931139663,0.0946432966701712,-2.89945475964778,0.00457688611145776,0.7413392037801,-2.67030861221106
"ILMN_2077680",-0.395321035678554,0.0928203674610635,-2.89801629288655,0.00459630306343662,0.7413392037801,-2.67253352270131
"ILMN_1678238",-0.428654469777913,0.065452740712748,-2.86597480393915,0.00504891681534891,0.788893252398267,-2.72186817883042
"ILMN_3240226",-0.292056753379358,0.0369893838348535,-2.84628390965098,0.00534698982431329,0.810149973380802,-2.75197218127188
"ILMN_2215824",-0.314737283787875,0.0395926455682906,-2.81959949937019,0.00577667727240917,0.819179357178273,-2.79250602716097
"ILMN_1678904",-0.283510546887815,0.0369407124135081,-2.81420020372675,0.00586737328216099,0.819179357178273,-2.80067076397122
"ILMN_3251662",0.533151310730326,-0.174913056631747,2.81238879869487,0.00589809137168357,0.819179357178273,-2.80340715905249
"ILMN_1765021",-0.295240030547893,0.0731017411203331,-2.750171015405,0.00704675253799052,0.912044504677145,-2.89654194447867
"ILMN_1773620",-0.288974278989613,0.112896748685021,-2.74733940585206,0.00710358320633037,0.912044504677145,-2.900740908434
"ILMN_2086077",0.334273784785673,-0.0528820867724634,2.7468252453203,0.00711394713648173,0.912044504677145,-2.90150297877684
"ILMN_1694504",-0.279685462224567,0.075533638123574,-2.73609971000823,0.00733330627976284,0.916663284970355,-2.91737382296887
"ILMN_1708604",0.282312086579066,0.0201238032856551,2.72413409117807,0.0075852811996548,0.92503429264083,-2.93502062103649
"ILMN_1695812",-0.347832391211087,0.073029658165092,-2.6942756771607,0.00824875373309355,0.981934279416798,-2.97878294194217
"ILMN_1763852",-0.268126153662251,0.0412513754886025,-2.64632540127324,0.00942511328084222,0.981934279416798,-3.0482415548848
"ILMN_1790741",-0.299685472856989,0.0989998184421205,-2.6440187905057,0.00948535357188983,0.981934279416798,-3.05155716329555
"ILMN_1726545",0.352188210808349,-0.0260988517314523,2.64300554518278,0.00951192583420491,0.981934279416798,-3.05301289287209
"ILMN_2305721",-0.273585474329906,0.0690259888402017,-2.63113668549936,0.00982823953254759,0.981934279416798,-3.07003088794945
"ILMN_2070052",-0.291301859016281,0.0897074699258025,-2.62418583841492,0.0100178709413859,0.981934279416798,-3.0799681311165
"ILMN_1713037",-0.273441682295291,0.0356612931517728,-2.6236506739877,0.0100326073855328,0.981934279416798,-3.08073233278452
"ILMN_1684349",-0.309386772992562,0.0823454457835609,-2.61148981999523,0.0103727960290109,0.981934279416798,-3.09806325113141
"ILMN_1702389",-0.271411794274035,0.0454202185343757,-2.61049673495966,0.0104010315270526,0.981934279416798,-3.09947561572391
"ILMN_1654518",-0.272893307916787,0.070363205997998,-2.60370682407564,0.0105959494315303,0.981934279416798,-3.10912038787329
"ILMN_2399036",-0.273485523573873,0.0697288314966728,-2.60331564811765,0.0106072787066075,0.981934279416798,-3.10967540689195
"ILMN_1765332",-0.321567257139927,0.0266741555689494,-2.57649757021796,0.011410542474249,0.981934279416798,-3.14756226526386
"ILMN_1682930",-0.287784279883692,0.0313324045830226,-2.57457588986182,0.0114701529282416,0.981934279416798,-3.15026465954353
"ILMN_1683082",-0.261468394538887,0.00767702660717271,-2.56522750097034,0.0117641591687759,0.981934279416798,-3.16338719983552
